record_id,canonical_name,primary_category,catalog_version,catalog_search_cutoff,relationship_review_date,official_source_url,source_check_status,review_outcome,outgoing_relationship_count,outgoing_relationship_types,outgoing_target_record_ids,incoming_relationship_count,incoming_source_record_ids,evidence_urls,external_or_unresolved_sources,rejected_candidate_notes,review_scope,reviewer
aptos2019,APTOS 2019 Blindness Detection,fundus,0.3.0,2026-07-25,2026-08-01,https://www.kaggle.com/c/aptos2019-blindness-detection,checked_against_cited_source,confirmed_catalog_relationship,0,,,3,aptos_arcade_onh_masks|mm_retinal_reason|x_pcr,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af|https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef|https://zenodo.org/records/20711325,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
aptos_arcade_onh_masks,APTOS Vascular Arcade and Optic Nerve Head Masks,fundus,0.3.0,2026-07-25,2026-08-01,https://zenodo.org/records/20711325,checked_against_cited_source,confirmed_catalog_relationship,1,derived_from,aptos2019,0,,https://zenodo.org/records/20711325,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
aroi,AROI: Annotated Retinal OCT Images Database,oct,0.3.0,2026-07-25,2026-08-01,https://drive.google.com/file/d/10Ys4xsw81evjHewZEvqHy4Kri0my8C2S/view,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
aroma_octa,AROMA Retinal OCTA Artifact Dataset,octa,0.3.0,2026-07-25,2026-08-01,https://doi.org/10.5281/zenodo.18258095,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
as_oct_keratitis,AS-OCT Keratitis Segmentation Dataset,oct,0.3.0,2026-07-25,2026-08-01,https://doi.org/10.6084/m9.figshare.c.7036994.v1,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
bajwa_multi_eye,Bajwa Hospital Multi Eye Disease Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://data.mendeley.com/datasets/rgwpd4m785/3,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
beh,BEH: Bangladesh Eye Hospital Glaucoma Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://drive.google.com/file/d/1YdZm-sioiAbTdBRy4oej1q6tZL8Baft7,checked_against_cited_source,confirmed_catalog_relationship,0,,,2,smdg|x_pcr,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af|https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
belo,BELO Benchmark for Evaluating Language Models in Ophthalmology,text,0.3.0,2026-07-25,2026-08-01,https://belo-dataset.vercel.app/,checked_against_cited_source,external_or_unresolved_relationship_only,0,,,0,,,BCSC|BioASQ|MedMCQA|MedQA|PubMedQA,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
bidr,BiDR: Diabetic Retinopathy Diagnosis Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://www.kaggle.com/datasets/pkdarabi/diagnosis-of-diabetic-retinopathy,checked_against_cited_source,confirmed_catalog_relationship,2,mirror_of|subset_of,dr_arranged|eyepacs,1,dr_arranged,https://tianchi.aliyun.com/dataset/93926|https://www.kaggle.com/datasets/pkdarabi/diagnosis-of-diabetic-retinopathy,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
birdshot_wide,Birdshot-WIDE Widefield Fundus Dataset,uwf_fundus,0.3.0,2026-07-25,2026-08-01,https://doi.org/10.5281/zenodo.19474623,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
bmrd,Bangladesh Multi-Disease Retinal Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://data.mendeley.com/datasets/959whsbc6v/1,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
brset,BRSET: Brazilian Multilabel Ophthalmological Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://physionet.org/content/brazilian-ophthalmological/1.0.1/,checked_against_cited_source,confirmed_catalog_relationship,0,,,1,brset_mbrset_embeddings,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,,BRSET and mBRSET are distinct cohorts; misleading PhysioNet parent-project markup is not treated as data lineage.,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
brset_mbrset_embeddings,Embedding-Based Representations for BRSET and mBRSET,tabular,0.3.0,2026-07-25,2026-08-01,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,checked_against_cited_source,confirmed_catalog_relationship,2,derived_from,brset|mbrset,0,,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
cadis,CaDIS: Cataract Dataset for Image Segmentation,surgical_video,0.3.0,2026-07-25,2026-08-01,https://cataracts-semantic-segmentation2020.grand-challenge.org/,checked_against_cited_source,confirmed_catalog_relationship,1,derived_from,cataracts2017,1,insegcat,https://cataracts-semantic-segmentation2020.grand-challenge.org/|https://ftp.itec.aau.at/datasets/ovid/InSegCat/,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
casia_iris_v4,CASIA-IrisV4 Iris Image Database,iris_biometrics,0.3.0,2026-07-25,2026-08-01,https://hycasia.github.io/dataset/casia-irisv4/,checked_against_cited_source,external_or_unresolved_relationship_only,0,,,0,,,CASIA-IrisV3,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
cataract,Cataract Fundus Classification Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://www.kaggle.com/datasets/jr2ngb/cataractdataset,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
cataract101_extended_labels,Cataract-101 Extended Labels,surgical_video,0.3.0,2026-07-25,2026-08-01,https://zenodo.org/records/4984167,checked_against_cited_source,confirmed_catalog_relationship,1,derived_from,cataract_101,0,,https://zenodo.org/records/4984167,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
cataract1k,Cataract-1K: Large-Scale Cataract Surgery Video Dataset,surgical_video,0.3.0,2026-07-25,2026-08-01,https://www.synapse.org/#!Synapse:syn53404917,checked_against_cited_source,confirmed_catalog_relationship,0,,,2,lmod_cataract_1k|lmod_plus,https://huggingface.co/datasets/mehti/LMOD-Cataract-1K|https://kfzyqin.github.io/lmod_plus/,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
cataract_101,Cataract-101: 101 Cataract Surgery Videos with Phase Annotations,surgical_video,0.3.0,2026-07-25,2026-08-01,https://ftp.itec.aau.at/datasets/ovid/cat-101/,checked_against_cited_source,confirmed_catalog_relationship,0,,,2,cataract101_extended_labels|insegcat,https://ftp.itec.aau.at/datasets/ovid/InSegCat/|https://zenodo.org/records/4984167,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
cataract_lmm,Cataract-LMM: Large-Scale Multi-Source Multi-Task Cataract Surgery Benchmark,surgical_video,0.3.0,2026-07-25,2026-08-01,https://huggingface.co/datasets/mjahmadi/Cataract-LMM,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,"The source describes a newly collected two-center cohort, not reuse of another cataloged cataract dataset.","Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
cataracts2017,CATARACTS 2017: Surgical Tool Detection Challenge,surgical_video,0.3.0,2026-07-25,2026-08-01,https://ieee-dataport.org/open-access/cataracts,checked_against_cited_source,confirmed_catalog_relationship,0,,,1,cadis,https://cataracts-semantic-segmentation2020.grand-challenge.org/,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
cavri,CAVRI: Computer Analysis of VitreoRetinal Interface Dataset,oct,0.3.0,2026-07-25,2026-08-01,https://dsp.put.poznan.pl/cavri_database-191/,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
chaksu,CHAKSU: Multi-Device Glaucoma Fundus Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://doi.org/10.6084/m9.figshare.20123135,checked_against_cited_source,confirmed_catalog_relationship,0,,,1,mm_retinal_reason,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
chase_db1,CHASE_DB1: Child Heart and Health Study in England,fundus,0.3.0,2026-07-25,2026-08-01,https://researchinnovation.kingston.ac.uk/en/datasets/chasedb1-retinal-vessel-reference-dataset-4/,checked_against_cited_source,confirmed_catalog_relationship,0,,,1,retinal_vessel_robustness,https://zenodo.org/records/12659652,CHASE study,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
chronic_corneal_disorders,Chronic Corneal Disorders Clinical Dataset,tabular,0.3.0,2026-07-25,2026-08-01,https://data.mendeley.com/datasets/mcwv6thk8m/1,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
coph100,COph100: Comprehensive Infant Fundus Image Registration Dataset (RIDIRP),fundus,0.3.0,2026-07-25,2026-08-01,https://doi.org/10.6084/m9.figshare.27061084.v1,checked_against_cited_source,external_or_unresolved_relationship_only,0,,,0,,,RIDIRP database,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
corn1500,CORN-1500: Corneal Nerve Tortuosity Grading,confocal,0.3.0,2026-07-25,2026-08-01,https://zenodo.org/records/5880419,checked_against_cited_source,confirmed_catalog_relationship,1,component_of,corn_collection,1,corn_collection,https://zenodo.org/records/19689814,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
corn_collection,CORN: Corneal Confocal Microscope Dataset Collection,confocal,0.3.0,2026-07-25,2026-08-01,https://zenodo.org/records/19689814,checked_against_cited_source,confirmed_catalog_relationship,2,has_component,corn1500|corn_pro,2,corn1500|corn_pro,https://zenodo.org/records/19689814,CORN-1|CORN-2|CORN-3|CORN-Complex,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
corn_pro,CORN Pro: Corneal Nerve Confocal Microscopy Dataset,confocal,0.3.0,2026-07-25,2026-08-01,https://zenodo.org/records/14263883,checked_against_cited_source,confirmed_catalog_relationship,1,component_of,corn_collection,1,corn_collection,https://zenodo.org/records/19689814,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
corneal_curvature_fundus,Corneal Curvature Prediction Using Fundus Photography,fundus,0.3.0,2026-07-25,2026-08-01,https://data.mendeley.com/datasets/bc2jfr7dv9/1,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
corneal_epithelium_confocal,Keratoconus Corneal Epithelium Confocal Fluorescence Dataset,confocal,0.3.0,2026-07-25,2026-08-01,https://data.mendeley.com/datasets/n3gky25brh/2,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
corneal_parameters_kc,Corneal Parameters Keratoconus Study,tabular,0.3.0,2026-07-25,2026-08-01,https://data.mendeley.com/datasets/3nz4fkwn3y/1,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
corneal_tomography_iol,Multi-Parameter Corneal Tomography Dataset for IOL Selection,tabular,0.3.0,2026-07-25,2026-08-01,https://data.mendeley.com/datasets/wddj7bh9p9/1,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
cornorb,CornOrb: Orbscan Corneal Topography and Clinical Annotations,corneal_topography,0.3.0,2026-07-25,2026-08-01,https://zenodo.org/records/20542091,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
csc_fundus_segmentation,Central Serous Chorioretinopathy Fundus Segmentation Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://data.mendeley.com/datasets/4k64fwnp4k/5,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
csdi,CSDI: Cataract Severity Diagnostic Image Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://huggingface.co/datasets/RainyNight/CSDI,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
data_oct_fundus_glaucoma,Data on OCT and Fundus Images,multimodal,0.3.0,2026-07-25,2026-08-01,https://data.mendeley.com/datasets/2rnnz5nz74/2,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
ddr,DDR: Diabetic Retinopathy Detection & Grading,fundus,0.3.0,2026-07-25,2026-08-01,https://drive.google.com/drive/folders/1z6tSFmxW_aNayUqVxx6h6bY4kwGzUTEC,checked_against_cited_source,confirmed_catalog_relationship,0,,,2,mm_retinal_reason|multieye,https://arxiv.org/abs/2412.09402|https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
deepdrid,DeepDRiD: Diabetic Retinopathy Grading and Image Quality Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://zenodo.org/records/8248825,checked_against_cited_source,confirmed_catalog_relationship,0,,,3,fundus_report_dataset|mm_retinal_reason|x_pcr,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af|https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef|https://huggingface.co/datasets/zzzzineun/fundus-report-dataset,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
deepeyenet,DeepEyeNet (DEN): Fundus Report Generation Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://github.com/Jhhuangkay/DeepOpht-Medical-Report-Generation-for-Retinal-Images-via-Deep-Models-and-Visual-Explanation,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
dme_vqa,Diabetic Macular Edema Visual Question Answering Dataset,multimodal,0.3.0,2026-07-25,2026-08-01,https://zenodo.org/records/6784358,checked_against_cited_source,confirmed_catalog_relationship,2,derived_from,e_ophtha|idrid,1,dme_vqa_logical,https://zenodo.org/records/6784358|https://zenodo.org/records/7777849,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
dme_vqa_logical,DME VQA Dataset with Logical Relations,multimodal,0.3.0,2026-07-25,2026-08-01,https://zenodo.org/records/7777849,checked_against_cited_source,confirmed_catalog_relationship,1,extension_of,dme_vqa,0,,https://zenodo.org/records/7777849,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
dr_arranged,Diabetic Retinopathy Arranged Dataset (Tianchi 93926),fundus,0.3.0,2026-07-25,2026-08-01,https://tianchi.aliyun.com/dataset/93926,checked_against_cited_source,confirmed_catalog_relationship,2,mirror_of|subset_of,bidr|eyepacs,1,bidr,https://tianchi.aliyun.com/dataset/93926|https://www.kaggle.com/datasets/pkdarabi/diagnosis-of-diabetic-retinopathy,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
drac22,DRAC 2022: Diabetic Retinopathy Analysis Challenge,octa,0.3.0,2026-07-25,2026-08-01,https://zenodo.org/records/10280359,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
dridb,DRiDB: Diabetic Retinopathy Image Database,fundus,0.3.0,2026-07-25,2026-08-01,https://ipg.fer.hr/ipg/resources/image_database,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
drions_db,DRIONS-DB: Digital Retinal Images for Optic Nerve Segmentation,fundus,0.3.0,2026-07-25,2026-08-01,https://www.ia.uned.es/~ejcarmona/DRIONS-DB.html,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
drishti_gs,DRISHTI-GS: Optic Disc and Cup Segmentation,fundus,0.3.0,2026-07-25,2026-08-01,https://www.kaggle.com/datasets/lokeshsaipureddi/drishtigs-retina-dataset-for-onh-segmentation,checked_against_cited_source,confirmed_catalog_relationship,0,,,3,fundus_domain_generalization|mm_retinal_reason|smdg,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef|https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset|https://zenodo.org/records/8009107,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
drive,DRIVE: Digital Retinal Images for Vessel Extraction,fundus,0.3.0,2026-07-25,2026-08-01,https://drive.grand-challenge.org/DRIVE/,checked_against_cited_source,confirmed_catalog_relationship,0,,,2,retinal_vessel_robustness|rite,https://medicine.uiowa.edu/eye/rite-dataset|https://zenodo.org/records/12659652,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
drtid,DRTiD: Diabetic Retinopathy Two-field Image Dataset,fundus,0.3.0,2026-07-25,2026-08-01,https://github.com/FDU-VTS/DRTiD,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
dryad_aoslo_rpe,AOSLO RPE Cell Morphometry and Cone Mosaic Dataset,adaptive_optics,0.3.0,2026-07-25,2026-08-01,https://doi.org/10.5061/dryad.b41j15h,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
dryad_cornea_oct_pentacam,Corneal OCT and Pentacam Tomography Dataset,multimodal,0.3.0,2026-07-25,2026-08-01,https://doi.org/10.5061/dryad.tht76hf0c,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
dryad_functional_oct_alzheimer,Functional OCT Retinal Response Dataset,oct,0.3.0,2026-07-25,2026-08-01,https://doi.org/10.5061/dryad.msbcc2ftc,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
dryad_gcc_glaucoma,Glaucoma Ganglion Cell Complex Clinical Dataset,tabular,0.3.0,2026-07-25,2026-08-01,https://doi.org/10.5061/dryad.xwdbrv1tn,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
dryad_glaucoma_rnfl_vf,RNFL and Visual-Field Glaucoma Diagnosis Dataset,tabular,0.3.0,2026-07-25,2026-08-01,https://doi.org/10.5061/dryad.q6ft5,checked_against_cited_source,no_documented_catalog_relationship_identified,0,,,0,,,,,"Same-data, subset, version, mirror, component, replacement, extension, derivation, and documented cohort-overlap links to other catalog records.",EyeDataHub authors
